^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS1033
!dataset_title = fhl1 and ifh1 deletion mutants
!dataset_description = Expression profiling of fhl1 single deletion mutant and ifh1 fhl1 double deletion mutant.  Mutants generated from W303 strain.  Results indicate that Ifh1p and Fhl1p function together to regulate the transcription of ribosomal protein genes.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 15692568
!dataset_platform = GPL90
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = in situ oligonucleotide
!dataset_feature_count = 9335
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 1
!dataset_sample_count = 6
!dataset_value_type = transformed count
!dataset_reference_series = GSE2096
!dataset_order = none
!dataset_update_date = Oct 10 2012
^SUBSET = GDS1033_1
!subset_dataset_id = GDS1033
!subset_description = wild type
!subset_sample_id = GSM37903,GSM37904
!subset_type = genotype/variation
^SUBSET = GDS1033_2
!subset_dataset_id = GDS1033
!subset_description = fhl1 deletion
!subset_sample_id = GSM37905,GSM37906
!subset_type = genotype/variation
^SUBSET = GDS1033_3
!subset_dataset_id = GDS1033
!subset_description = fhl1 ifh1 double deletion
!subset_sample_id = GSM37907,GSM37908
!subset_type = genotype/variation
^DATASET = GDS1033
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM37903 = Value for GSM37903: Wild type (first experiment); src: Total RNA from yeast
#GSM37904 = Value for GSM37904: WT (second experiment); src: Yeast total RNA.
#GSM37905 = Value for GSM37905: Delta FHL1 (second experiment); src: Yeast total RNA
#GSM37906 = Value for GSM37906: Delta FHL1 (first experiment); src: Yeast total RNA.
#GSM37907 = Value for GSM37907: FHL1, IFH1 double deletion (first experiment); src: Yeast total RNA.
#GSM37908 = Value for GSM37908: FHL1, IFH1 double deleted strain (second experiment); src: Yeast total RNA.
!dataset_table_begin
ID_REF	IDENTIFIER	GSM37903	GSM37904	GSM37905	GSM37906	GSM37907	GSM37908
10027_at	ATG39	6.5749	5.76852	7.32527	7.06084	7.15947	7.11381
10028_at	SPH1	8.27412	8.53504	8.63741	8.63276	8.65326	8.8667
10029_at	CDC3	8.76711	8.21242	8.78868	8.48134	8.6279	8.55685
10030_at	NKP2	6.86712	6.85872	6.86712	6.84731	6.91976	7.12213
10031_at	TAD3	9.68218	9.83102	10.0433	9.96176	9.87767	9.79948
10032_at	MCM5	8.02629	7.96932	8.20139	7.87089	8.20139	7.98596
10033_at	SMD2	6.47525	6.82099	7.78801	7.58907	7.30118	7.55539
10034_at	DBP9	9.60157	9.4144	10.4425	9.87722	10.3013	10.0756
10035_at	YSH1	8.93795	9.04013	9.34133	9.34955	9.25153	9.37581
10036_at	YLR278C	8.26408	8.14857	8.86044	8.8168	8.49153	8.86681
10037_at	YLR279W	7.98773	8.43629	7.28263	7.84675	7.60473	7.96243
10038_i_at	YLR281C	8.88455	9.00423	9.43407	8.91633	10.1752	9.05846
10039_s_at	YLR281C	6.66356	6.48687	6.90348	6.30472	7.33557	6.32857
10040_at	YLR281C	6.06062	5.84191	6.53907	6.11937	7.21529	6.43403
10041_at	YLR282C	6.34658	6.36476	6.04433	5.63981	6.14429	5.68491
10042_at	YLR283W	5.67657	5.12787	6.32732	5.64834	5.71894	5.41327
10043_at	ECI1	7.48425	7.332	7.7656	7.3703	7.61372	7.15864
10044_at	NNT1	9.20525	9.09555	9.28759	9.26757	9.09375	9.18642
10045_at	CTS1	12.6092	12.4128	13.053	12.9551	12.7639	12.8167
10046_at	YLR287C	6.59061	6.5085	7.51797	7.06415	7.00708	7.02258
10047_f_at	RPS30B	13.2417	12.9452	13.4761	13.4566	13.3426	13.4043
10048_at	MEC3	7.51332	7.26392	8.03224	7.72243	7.68465	7.61553
10049_at	GUF1	7.29088	7.57942	6.76195	7.01512	6.67362	6.80616
10050_at	COQ11	8.6037	8.5772	9.08623	9.33111	8.75098	9.02514
10051_at	GCD7	10.3425	10.7836	10.3689	10.676	10.3425	10.4895
10052_at	SEC72	8.58347	8.79176	8.69322	8.80812	8.69322	8.78868
10053_at	GSP1	12.1427	12.1535	12.2707	12.1239	12.194	12.1879
10054_at	ATP14	10.6818	10.4064	11.1295	11.0497	11.0986	10.963
10055_at	MCP2	8.24165	7.87009	7.89462	7.63564	7.69573	7.47627
10056_at	NDL1	8.36369	8.03513	9.16101	8.8657	8.84405	8.8701
10057_at	YLR255C	7.32087	7.29521	7.2482	7.21243	7.2482	7.04539
10058_at	HAP1	8.38575	8.07688	8.38848	7.99607	8.59251	8.4498
10059_at	YLR257W	10.4292	10.244	11.3721	11.2344	11.0168	11.3181
10060_at	GSY2	9.20533	9.13804	9.34612	9.54214	9.10789	9.31881
10061_at	HSP60	12.8197	12.7732	12.2652	12.2803	12.3436	12.1527
10062_at	LCB5	8.85294	8.93383	8.91102	9.04355	9.12073	9.0578
10063_i_at	YPT6	7.67123	7.66485	7.59029	7.69243	7.80067	7.58037
10064_s_at	YPT6	8.2137	7.76336	8.39802	8.28288	8.30015	7.83832
10065_at	YPT6	6.96744	6.49885	7.22813	7.45056	6.91995	7.1909
10066_s_at	TMA7	8.8101	8.60513	9.54966	9.32917	9.17649	9.03634
10067_at	RED1	6.818	6.49849	6.84592	6.25866	6.87621	6.37407
10068_i_at	RPS28B	12.2354	12.8656	12.5829	12.6827	12.1627	12.6583
10069_f_at	RPS28B	11.3413	11.7802	11.6026	11.6889	11.3459	11.6454
10070_at	NEJ1	6.26367	6.29473	6.28815	6.03434	6.28815	5.97192
10071_at	PDR8	5.36491	5.21457	5.62977	4.98017	5.5658	5.19901
10072_at	BOP2	5.68784	5.49772	6.23365	6.32783	6.07698	6.13747
10073_at	SEC22	7.78012	7.8247	8.35195	8.0608	7.97542	8.02188
10074_at	YLR269C	3.1616	3.85908	3.14285	3.35167	3.3017	3.48835
10075_at	DCS1	8.1406	8.2978	9.11595	9.09564	8.63013	8.92161
10076_at	CMG1	7.08841	6.62213	8.11795	7.69223	7.6812	7.43855
10077_at	YCS4	7.53478	7.36658	7.74035	7.27815	7.72116	7.31318
10078_at	PIG1	7.44162	7.37705	7.45036	6.98431	7.44162	7.04646
10079_at	YLR232W	5.45343	5.73477	5.45343	4.9852	5.45343	5.31559
10080_at	EST1	6.25932	5.98631	6.26691	5.92341	6.26691	5.99905
10081_at	TOP3	6.33335	7.05949	5.62359	5.65894	6.11433	6.26734
10082_at	YLR235C	6.02446	6.31655	5.55542	5.53298	5.83079	5.77862
10083_g_at	YLR235C	6.46219	6.32768	6.07346	6.05152	6.16051	6.09231
10084_at	YLR236C	7.415	8.06335	7.06599	7.45631	7.33387	7.62229
10085_at	THI7	8.94357	8.8256	9.79562	9.27365	9.44291	9.34509
10086_at	FAR10	7.28046	7.05096	7.50484	7.41117	7.39831	7.41766
10087_at	LIP2	7.95711	7.52131	8.17104	7.54446	7.63569	7.37838
10088_at	VPS34	7.9694	7.78372	8.30233	8.09671	8.24341	8.0681
10089_at	CSC1	8.33347	8.07865	8.33347	8.04495	8.3375	8.07445
10090_at	ARV1	5.82013	6.13511	6.37515	6.22248	6.01497	6.20922
10091_at	GPN3	9.8375	10.0698	10.7797	10.4871	10.8506	10.5011
10092_at	MAP1	8.61739	8.31377	9.30773	8.69494	9.1557	8.86709
10093_at	CDD1	7.44552	8.03397	7.29844	7.72428	7.44778	8.60251
10094_at	ERF2	8.17218	8.40762	9.19497	9.12567	9.0624	9.305
10095_at	IRC20	8.16906	7.78543	8.96149	8.53449	9.0193	8.84225
10096_at	RCK2	10.5781	10.4488	10.9021	10.4815	10.8908	10.6143
10097_at	YEF3	13.4296	13.4206	13.4289	13.5229	13.488	13.5719
10098_at	SSP120	7.73805	8.0349	8.65449	8.84791	8.59456	9.04043
10099_at	SYM1	8.10404	7.97067	8.94826	9.09882	8.56562	8.92502
10100_at	SYM1	7.55419	7.21922	8.58957	8.61418	8.22911	8.40046
10101_at	PNP1	8.8049	8.70382	9.34951	9.01978	9.16713	8.8359
10102_at	CLB4	7.43758	7.68292	7.76695	7.58839	7.56714	7.70976
10103_at	ATG38	7.19695	7.32238	7.36553	7.05184	7.09447	6.97155
10104_at	TUB4	8.41194	8.04863	8.45319	8.06452	8.41194	8.13743
10105_at	CRR1	5.53309	5.28629	5.59029	4.55991	5.59029	5.08924
10106_at	FRE1	8.68305	9.53711	8.94801	8.71185	9.05406	9.39425
10107_at	CDC123	8.34719	8.32599	8.62559	8.22535	8.4651	8.24384
10108_at	CPR6	11.2803	11.4496	11.3055	11.162	11.2431	11.2175
10109_at	YLR217W	5.16582	5.85554	4.68631	4.87561	4.68631	4.90499
10110_at	COA4	7.89124	7.5173	6.97166	6.54542	6.53441	6.17882
10111_at	MSC3	9.30096	8.86683	9.6722	9.20487	9.46652	9.17551
10112_at	CCC1	9.03047	8.84503	9.71231	9.59521	9.34451	9.58006
10113_at	RSA3	9.10487	9.00181	9.91127	9.32262	9.57566	9.36776
10114_at	UTP13	9.82641	9.50348	10.0789	9.56917	9.95599	9.73746
10115_at	IFH1	8.31411	8.57281	8.98436	8.93398	4.95925	5.39665
10116_at	UCC1	9.24842	8.82171	9.87651	9.61237	9.81214	9.74671
10117_at	YLR225C	8.49028	8.1804	9.34843	9.26109	9.04019	9.25352
10118_at	BUR2	8.66588	9.02803	8.98017	9.30093	8.78595	9.63278
10119_at	ADY4	7.10374	7.06628	7.91527	7.50142	7.76902	7.488
10120_at	ECM22	8.62568	8.39855	8.93048	8.99972	9.05275	8.81189
10121_at	CDC42	11.6333	11.6764	12.0209	11.9489	11.9837	11.7415
10122_at	YLR230W	4.98659	5.40419	4.88599	4.94271	4.98659	4.74001
10123_at	BNA5	7.64465	7.10257	8.07132	7.53245	8.01456	7.61978
10124_at	ATG26	8.28094	8.27073	8.50708	8.5996	8.18991	8.55917
10125_at	MMR1	9.33866	9.56831	9.09765	9.07387	9.02374	9.36606
10126_at	PEX13	7.73965	7.48511	8.06255	7.70936	7.85303	7.56074
10127_at	HCR1	11.5108	11.4713	11.5326	11.2952	11.5326	11.4389
10128_at	UPS1	8.48863	8.02604	9.09557	8.85159	8.63915	8.77325
10129_at	YLR194C	10.8633	10.7599	11.5289	11.7016	11.8789	12.2345
10130_at	NMT1	9.09088	8.70543	9.20275	8.81262	8.87167	8.8454
10131_at	PWP1	10.5185	10.6364	10.6964	10.628	10.7468	10.7402
10132_at	NOP56	10.8673	10.8425	10.8003	10.5381	10.9755	10.4874
10133_at	YLR198C	8.25722	8.40554	7.4953	7.89747	8.05169	8.03663
10134_at	PBA1	9.09584	9.02816	9.95709	9.71113	10.0263	9.63869
10135_at	YKE2	8.36558	8.57188	9.16478	9.23519	8.74288	8.97599
10136_at	COQ9	8.95434	9.02373	9.81353	9.89887	9.56451	9.62193
10137_at	COQ9	7.27175	7.91015	7.27175	7.37934	7.27175	7.50265
10138_g_at	COQ9	6.79988	7.02512	7.72089	7.67756	7.23014	7.69333
10139_i_at	YLR202C	11.2777	11.3856	11.1756	11.1564	11.1982	11.3268
10140_r_at	YLR202C	9.84943	10.027	9.90892	9.89749	9.64888	10.2068
10141_at	MSS51	9.94634	9.90343	9.5427	9.36093	9.34882	9.3597
10142_at	QRI5	9.02575	8.6099	9.00935	8.55616	8.5405	8.2302
10143_at	HMX1	9.29761	9.22204	10.7646	10.2423	11.0407	10.3479
10144_at	ENT2	9.57643	8.87187	9.94074	9.45339	9.92613	9.57964
10145_at	HRD3	7.70764	7.56896	7.65631	7.16627	7.44715	7.09165
10146_at	SEC13	10.8333	11.13	10.8096	10.9259	10.6396	10.8166
10147_at	RPS31	12.8862	12.6875	12.9923	12.8738	12.9232	12.8716
10148_at	UPS2	8.32957	7.9378	8.94575	8.78661	8.92545	8.9137
10149_at	YLR169W	7.23387	7.77378	6.93457	6.85024	7.14349	7.14045
10150_at	APS1	8.27443	8.28214	8.69104	8.56217	8.58776	8.65853
10151_at	YLR171W	5.82593	6.3038	5.61322	6.02627	5.78644	6.05332
10152_at	DPH5	10.2196	10.1539	10.6114	10.1854	10.6348	10.1861
10153_at	YLR173W	5.82792	5.71702	5.9999	5.63156	6.23741	6.11942
10154_at	IDP2	6.16285	6.09348	7.06606	6.92171	7.31006	7.12906
10155_at	CBF5	11.6228	11.7193	11.5615	11.4039	11.6689	11.5446
10156_at	RFX1	7.13394	6.90943	7.16683	7.01619	7.36413	7.29709
10157_at	YLR177W	8.94072	8.81368	9.09695	8.92688	9.02677	8.84234
10158_at	TFS1	9.35413	8.87531	10.7449	10.7654	10.3799	10.4605
10159_at	YLR179C	11.2267	11.252	11.5458	11.4254	10.9927	11.3359
10160_at	SAM1	10.4429	10.2781	10.5691	10.4518	10.3305	10.5894
10161_g_at	SAM2	13.2552	13.5214	13.242	13.2726	13.1653	13.387
10162_at	VTA1	7.85682	7.54137	8.36642	7.73724	8.06785	7.50635
10163_at	SWI6	8.02308	7.61681	8.06994	7.61889	8.0547	7.71437
10164_at	TOS4	8.15624	8.03332	8.15624	7.84061	8.13363	8.03612
10165_at	YLR184W	5.14166	5.34095	5.11802	4.74049	5.16123	5.00351
10166_at	RPL37A	13.5348	13.7055	13.4126	13.4262	13.2092	13.4277
10167_at	EMG1	10.3696	10.5761	10.4523	10.4467	10.724	10.7912
10168_at	SKG3	8.47114	8.38842	8.48238	8.28726	8.55355	8.49071
10169_at	MDL1	10.1635	9.94501	9.63307	9.28122	9.5332	9.27188
10170_g_at	RRN5	9.79437	10.0039	9.0445	9.08158	9.37026	9.31912
10171_at	RRN5	7.5243	7.99457	7.28488	7.05851	7.26734	6.9881
10172_at	PUT1	7.81462	7.61919	8.51482	8.31276	8.96572	8.6235
10173_at	DPH6	7.01217	7.12504	7.43789	7.30005	7.14656	7.51647
10174_at	ACF2	8.15879	8.33885	8.41914	8.34807	8.39073	8.44998
10175_at	RMP1	6.40595	6.62583	7.22633	6.59343	7.06603	6.66691
10176_at	SPE4	8.00642	7.92381	8.34604	8.03388	8.12649	8.29244
10177_at	SMD3	8.7217	8.55254	10.1041	9.58449	9.62613	9.48979
10178_at	PEP3	5.18617	4.76744	5.35916	4.77237	5.18617	4.77887
10179_at	YLR149C	6.66916	6.68453	7.53293	7.74511	7.3957	7.58677
10180_at	STM1	12.6288	12.47	12.4019	12.0617	12.1305	12.1045
10181_at	PCD1	7.53805	7.48388	7.94012	7.85246	8.24001	8.0068
10182_at	YLR152C	8.55791	8.1845	9.83289	9.81893	9.59889	9.69833
10183_at	ACS2	11.3075	10.763	10.682	10.3812	10.684	10.5888
10184_at	RNH203	9.43337	9.37386	9.92283	9.77974	9.56125	9.6406
10185_s_at	ASP3-4	11.8542	11.2977	12.4217	12.6934	12.5693	12.7025
10186_s_at	YLR157W-D	7.68871	7.25408	7.95957	9.17266	8.42394	9.30714
10187_at	YLR162W	9.62023	7.2934	9.3479	7.13676	9.02787	7.16979
10188_at	MAS1	9.51244	9.52899	9.44326	9.34211	9.24525	9.35993
10189_at	SHH4	8.14278	8.25654	8.28661	8.35462	8.28334	8.26946
10190_at	PUS5	6.73655	6.51702	7.51032	7.27627	7.34983	6.96874
10191_at	SEC10	7.8165	7.67556	7.66859	7.60429	7.62985	7.32176
10192_at	SRN2	7.55295	7.52161	8.31989	8.12994	7.81789	7.74145
10193_at	YPS1	10.4376	10.4543	10.6135	10.6588	10.8327	11.289
10194_at	YPS3	9.66405	9.67298	10.3548	10.6606	10.9255	11.3215
10195_at	YLR122C	4.3595	4.50657	4.97921	4.79926	5.14139	4.87783
10196_g_at	YLR122C	6.99251	7.51365	6.93691	7.30849	7.16163	7.52032
10197_at	YLR123C	5.52865	5.82766	5.52865	5.83987	5.52865	5.89579
10198_at	YLR124W	5.92502	5.97905	5.28002	5.28099	5.74912	5.62614
10199_at	YLR125W	5.19051	6.0129	5.16044	5.60379	5.41794	5.65538
10200_at	YLR126C	7.64452	7.59671	7.09565	7.07091	7.04964	7.01663
10201_at	APC2	6.53947	6.34459	7.20019	6.75426	7.11316	6.58223
10202_at	DCN1	7.47905	7.38241	8.10575	8.15704	8.11643	7.87218
10203_at	DIP2	9.89688	10.0627	10.0758	10.0968	10.2643	10.1478
10204_at	ZRT2	9.83011	9.86368	9.4413	9.48322	9.83533	9.69004
10205_at	ACE2	8.24074	8.03734	7.99458	7.54562	8.13696	7.67653
10206_at	USB1	7.02928	7.12399	6.72244	6.36095	6.75964	6.54297
10207_at	CKI1	8.37125	8.34879	8.11595	7.95792	8.11595	8.11794
10208_at	PDC5	8.78601	8.93191	9.16562	9.09567	8.83644	8.87187
10209_at	SLX4	6.65766	6.54685	6.66417	6.56987	6.65766	6.54134
10210_at	TIS11	5.79095	7.06403	5.67198	5.45325	6.16873	6.19079
10211_at	RKM5	7.94694	8.23769	8.66439	8.57776	8.77985	8.545
10212_at	NHA1	8.07928	8.12395	8.66373	8.27614	8.84002	8.50675
10213_at	SLS1	7.48025	7.55361	7.42336	6.96545	7.48025	7.15633
10214_at	RRN5	5.81309	6.11885	5.476	5.27582	5.66392	5.68437
10215_at	KIN2	9.11718	8.95014	9.0756	9.11531	9.29817	9.22118
10216_at	HRT3	7.45948	7.57289	7.47753	7.46863	7.55361	7.32988
10217_at	CHA4	7.25844	7.18979	7.59024	7.6116	7.67403	7.68217
10218_at	ICT1	9.87664	10.4775	9.66826	9.82081	9.98023	10.2361
10219_at	ERG27	11.1446	11.265	11.502	11.2186	11.6903	11.3144
10220_at	YLR101C	6.1065	6.35843	5.96777	5.85202	6.1065	6.02443
10221_at	APC9	6.46283	5.99684	7.5863	7.02905	7.37201	6.72278
10222_at	CDC45	7.59299	7.49242	7.59299	7.34389	7.59996	7.34837
10223_at	LCL2	8.03697	8.19503	8.56578	8.49175	8.29354	8.29193
10224_at	SEN2	8.44097	8.66641	8.55247	8.42877	8.44097	8.31417
10225_at	MDN1	8.85039	8.69381	9.24405	8.76707	9.35274	9.22722
10226_at	REX3	7.51704	7.85921	8.51495	8.6826	8.32228	8.83856
10227_at	YLR108C	9.13432	8.9831	7.92961	7.67023	8.01618	8.10143
10228_at	AHP1	12.4979	12.4205	12.4274	12.3465	12.4643	12.3714
10229_at	CCW12	14.4856	14.5717	14.699	14.7828	14.7252	14.8041
10230_at	YLR111W	6.59917	7.12016	6.60934	6.55894	6.71457	6.83152
10231_at	YLR112W	8.51522	8.98497	8.51522	8.69977	8.51522	8.7706
10232_at	HOG1	10.8469	10.9544	10.9729	10.7159	10.9729	10.7725
10233_at	AVL9	6.1792	6.21801	6.38032	6.14079	6.1254	6.382
10234_at	CFT2	7.69276	7.60532	7.71155	7.31342	7.67144	7.56807
10235_at	MSL5	8.77206	8.97929	8.53613	8.58337	8.74774	9.12374
10236_at	CLF1	5.79977	6.081	6.57117	6.32799	6.41994	6.58796
10237_at	YLR118C	9.22647	9.26443	10.1334	9.87673	9.68556	9.62916
10238_at	BUD20	9.78118	9.93291	10.7874	10.4059	10.716	10.3894
10239_at	RPL10	13.0902	13.2471	13.2917	13.4605	13.2837	13.4634
10240_at	YLR076C	6.31363	6.59213	5.77722	5.67959	6.13038	5.8264
10241_at	FMP25	8.42033	8.12083	8.28486	7.71077	8.26285	7.7671
10242_at	BOS1	8.81441	8.79244	9.47905	9.29969	9.08922	9.34427
10243_at	SIC1	9.11389	8.96542	9.6243	9.18818	9.33136	9.12375
10244_at	EMP46	6.28739	6.11467	6.85572	6.49534	6.52472	6.3681
10245_at	GAL2	7.06813	7.26266	6.88079	6.75627	7.03791	6.83403
10246_at	SRL2	6.98192	6.70119	7.53523	7.18562	7.53523	7.33749
10247_at	EMP70	10.6517	11.1798	10.4959	10.6896	10.3486	11.0079
10248_at	RAX2	9.52701	9.7876	9.47907	9.47139	9.7614	9.81238
10249_at	ARP6	8.80234	8.96674	9.62249	9.41648	9.46471	9.32149
10250_at	SMC4	6.53633	6.27688	6.90183	6.54821	6.74699	6.37761
10251_at	CSF1	8.37526	8.30358	8.66377	8.66681	8.50179	8.85119
10252_at	GAA1	9.77209	9.66018	9.80552	9.34174	9.50026	9.36954
10253_at	ALT1	11.0681	11.018	11.5442	11.2959	11.397	11.3937
10254_at	XDJ1	9.20867	8.83777	9.58383	9.19103	9.58383	9.30004
10255_at	GEP5	7.10824	7.26415	7.10824	6.98086	7.10824	6.844
10256_at	SUL2	7.95173	8.00682	7.04195	7.26709	7.05696	7.1828
10257_at	NYV1	7.9184	7.56731	8.61595	8.44352	8.45796	8.51169
10258_at	GIS3	7.00191	7.838	7.85594	7.36896	7.44351	7.61986
10259_at	IOC2	9.90492	9.67152	9.71871	9.4963	9.92467	9.4019
10260_at	FCF2	9.22707	9.58991	10.2194	9.82905	9.85483	9.90597
10261_at	IES3	8.59267	8.56157	8.7771	8.65659	8.63735	8.72037
10262_at	YLR053C	5.34274	5.21797	5.41872	5.27213	5.41262	5.27289
10263_at	OSW2	6.58475	6.78318	7.09151	7.25011	7.40115	7.71152
10264_at	SPT8	8.99317	9.20852	8.95012	8.65533	8.92184	8.69384
10265_at	ERG3	12.4949	12.4618	12.4735	12.5835	12.554	12.6943
10266_at	MNL2	7.94308	7.74013	8.34733	7.89614	8.14809	8.0481
10267_at	SHM2	11.5806	10.7881	11.6697	11.3465	11.8314	11.558
10268_at	REX2	10.5288	10.5914	10.636	10.4818	10.5738	10.4791
10269_at	FRS1	12.8961	12.9785	13.101	13.0779	13.1256	13.1072
10270_at	RPL22A	13.5389	13.6287	13.5296	13.6361	13.4244	13.4687
10271_at	YLR062C	6.86876	7.03674	6.2312	6.24156	6.61652	6.21483
10272_at	BMT6	8.14447	8.24318	8.0242	8.13289	8.20553	8.20813
10273_at	PER33	10.4919	10.7484	10.8792	10.89	10.8974	10.8946
10274_at	ENV10	11.0623	11.0615	11.4751	11.1569	11.3292	11.2102
10275_at	SPC3	9.38226	9.09423	10.1062	9.63426	9.69692	9.55531
10276_at	PET309	6.14065	6.41334	6.12429	6.01483	6.00438	6.08028
10277_at	FYV7	7.70005	7.9033	8.64112	8.08473	8.42414	8.10103
10278_at	MEF1	9.74306	9.47677	8.66814	8.40353	8.64925	8.33903
10279_at	XYL2	7.40504	7.1256	8.08198	7.61957	8.25397	7.53514
10280_at	RGR1	9.14062	9.08892	9.33978	9.0029	9.33768	9.03601
10281_at	LAM6	7.60335	7.14405	7.77095	6.91797	7.85197	7.0933
10282_at	RFU1	9.19554	9.57116	9.366	9.35125	8.91727	9.35605
10283_at	YLR031W	5.31243	5.30367	5.48989	5.50479	5.69575	5.48456
10284_at	RAD5	7.90714	7.61758	7.8421	7.56688	7.8421	7.2739
10285_at	RSC58	7.46517	7.46187	7.71472	7.39826	7.69839	7.49099
10286_at	SMF3	10.3183	10.5234	10.4092	10.2621	10.5221	10.4556
10287_at	MLH2	6.80885	6.69117	7.05421	6.63064	7.03314	6.61094
10288_at	YLR036C	7.5829	7.8916	8.15863	8.31057	7.9048	8.11045
10289_f_at	PAU23	8.67045	8.77453	9.08769	8.96756	9.11986	9.12517
10290_at	COX12	11.6571	11.714	12.4857	12.593	12.2561	12.4755
10291_at	RIC1	7.37719	7.02551	7.54022	7.0698	7.39633	7.0376
