^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS111
!dataset_title = Steady-state temperature (y14)
!dataset_description = Samples collected from cells grown continuously at 15°C, 17°C, 21°C, 25°C, 29°C, 33°C and 36°C. Included as part of a detailed characterization of global expression programs triggered by stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL54
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 9216
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 8
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS111_1
!subset_dataset_id = GDS111
!subset_description = 15°C
!subset_sample_id = GSM1041
!subset_type = temperature
^SUBSET = GDS111_2
!subset_dataset_id = GDS111
!subset_description = 17°C
!subset_sample_id = GSM1047
!subset_type = temperature
^SUBSET = GDS111_3
!subset_dataset_id = GDS111
!subset_description = 21°C
!subset_sample_id = GSM1042
!subset_type = temperature
^SUBSET = GDS111_4
!subset_dataset_id = GDS111
!subset_description = 25°C
!subset_sample_id = GSM1043
!subset_type = temperature
^SUBSET = GDS111_5
!subset_dataset_id = GDS111
!subset_description = 29°C
!subset_sample_id = GSM1044
!subset_type = temperature
^SUBSET = GDS111_6
!subset_dataset_id = GDS111
!subset_description = 33°C
!subset_sample_id = GSM1045
!subset_type = temperature
^SUBSET = GDS111_7
!subset_dataset_id = GDS111
!subset_description = 36°C
!subset_sample_id = GSM1046,GSM1055
!subset_type = temperature
^DATASET = GDS111
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1041 = Value for GSM1041: steady state 15 dec C; src: pool; src: 15 deg C
#GSM1047 = Value for GSM1047: steady state 17 dec C; src: pool; src: 17 deg C
#GSM1042 = Value for GSM1042: steady state 21 dec C; src: pool; src: 21 deg C
#GSM1043 = Value for GSM1043: steady state 25 dec C; src: pool; src: 25 deg C
#GSM1044 = Value for GSM1044: steady state 29 dec C; src: pool; src: 29 deg C
#GSM1045 = Value for GSM1045: steady state 33 dec C; src: pool; src: 33 deg C
#GSM1046 = Value for GSM1046: steady state 36 dec C; src: pool; src: 36 deg C
#GSM1055 = Value for GSM1055: steady state 36 dec C: y14n095; src: pool; src: 36 deg C
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1041	GSM1047	GSM1042	GSM1043	GSM1044	GSM1045	GSM1046	GSM1055
38	AVT5	0.397	0.181	0.326	0.367	0.196	0.261	0.386	0.22
39	MAP2	0.169	-0.194	0.619	0.637	0.585	0.388	-0.159	-0.03
40	ROX3	0.148	0.208	0.502	0.434	0.301	-0.091	-0.095	-0.034
41	MRX3	0.214	-0.039	0.346	0.261	0.311	0.315	0.418	0.246
42	BRN1	-0.31	-0.498	0.034	0.369	0.078	-0.087	-0.431	0
43	NRG2	-0.005	0.252	0.146	0.465	0.354	0.183	0.424	0.171
44	BAP2	0.236	-0.217	0.506	0.444	0.306	0.596	0.66	0.421
45	ALG14	0.087	0.217	0.416	0.512	0.502	0.362	0.419	0.361
46	HSP26	-0.358	-0.425	-0.524	-0.531	-0.193	0.334	1.202	1.156
47	PFF1	0.175	-0.574	0.327	0.253	0.199	1.479	0.549	0.333
48	ECM8	-0.109	-0.296	-0.025	-0.287	-0.049	0.088	0.355	0.422
49	CDC28	0.131	0.074	0.023	0.462	0.286	0.292	-0.264	0.05
50	TOS1	1.015	0.513	0.87	0.704	0.545	0.094	-0.464	-0.449
51	EXO5	0.621	0.23	0.609	0.307	0.108	0.268	-0.161	-0.085
52	UBS1	0.289	0.293	0.349	0.345	0.394	0.246	-0.175	-0.176
53	POP7	0.152	0.249	0.311	0.009	0.403	0.066	0.123	-0.059
54	SSE2	0.557	-0.256	-0.44	-0.315	0.087	0.764	0.469	0.565
55	MTC4	0.145	-0.314	0.318	0.352	0.22	0.299	-0.237	-0.08
56	POP4	0.063	0.177	0.708	0.424	0.376	-0.028	-0.418	-0.356
57	YBR259W	0.203	0.288	0.13	0.177	0.252	0.204	0.046	0.169
58	TAE1	-0.237	-0.21	0.261	0.229	0.572	0.397	0.007	0.249
59	SHM1	0.127	-0.26	0.679	0.465	0.71	0.704	0.24	-0.085
60	TSC10	0.702	0.374	0.614	0.418	0.333	0.145	0.1	-0.048
61	APA1	0.467	0.401	0.788	0.38	0.612	0.269	-0.384	-0.119
62	PBN1	0.4	-0.263	0.512	0.129	0.309	0.248	0.338	0.157
63	SPB1	0.49	-0.335	1.072	0.605	0.166	0.041	-0.524	-0.701
64	PEX34	0.178	0.087	0.174	0.297	-0.027	0.087	0.243	0.128
65	FYV5	-0.034	0.276	0.375	0.009	0.226	-0.135	0.256	0.318
66	MRC1	-0.156	-1	0.489	0.443	0.155	0.433	-0.355	-0.448
67	PWP2	0.135	-0.575	0.695	0.24	0.194	0.69	-0.033	-0.205
68	TAH1	-0.529	-0.312	-0.006	0.22	0.473	0.373	0.856	0.504
69	YCR061W	-0.118	-0.492	-0.249	-0.077	0.284	0.728	1.112	0.734
70	YCR064C	0.268	-0.462	0.226	0.147	0.2	0.119	0.528	0.06
71	RAD18	0.175	-0.294	0.161	0.068	-0.051	0.244	0.489	0.184
72	ATG15	0.518	-0.245	-0.046	0.044	0.165	1.146	0.433	0.31
73	YDL026W	0.553	0.152	0.392	-0.559	0.893	0	-0.541	0.193
74	MPS1	-0.447	-0.436	-0.217	-0.379	-0.276	0.348	-0.547	0.138
75	PRP9	-0.193	0	-0.243	0.248	0.075	-0.485	-0.646	0.095
76	YDL032W	-0.237	0.234	0.122	-0.1	0.7	-0.248	0.431	0.134
77	YDL034W	0.157	-0.263	0.101	0.267	-0.103	0.962	0.17	0.268
78	PUS9	2.585	2	0.222	null	-2.585	-0.585	3	-0.515
79	UBP1	0.242	-0.312	0.634	0.427	0.096	0.132	-0.404	-0.412
80	YDL124W	1.11	0.707	0.192	-0.09	-0.162	0.056	0.476	0.539
81	CDC48	0.476	-0.343	0.58	0.314	0.501	0.911	0.413	0.435
82	VCX1	1.138	0.667	0.809	0.349	0.155	-0.204	-0.209	-0.263
83	RPP1B	null	0.485	-1.807	0.585	null	-1.322	null	null
84	CDC53	0.211	-0.342	0.404	0.244	0.375	0.668	0.345	0.124
85	YDL218W	0.087	0.193	0.152	0.245	0.16	-0.17	0.285	0.478
86	CDC13	0	-0.344	-0.303	0.107	0.531	0.453	0.399	-0.17
87	FMP45	-0.156	-0.624	-0.217	-0.322	-0.144	0.193	1.026	0.461
88	WHI4	0.64	-0.126	0.585	0.385	0.065	0.389	0.121	0.301
89	GCS1	-0.154	-0.052	0.393	0.607	0.359	0.328	0.374	0.185
90	YDL228C	-0.628	-0.059	0.28	-0.585	1.1	-0.3	0.061	-0.241
91	RTR2	-0.218	-0.185	0.068	0.158	0.248	0.343	0.469	0.159
92	DOS2	-0.144	-0.191	0.316	0.668	0.378	0.205	0.239	-0.075
93	FMP16	-0.77	-0.285	-1.121	-1.101	-0.473	-0.543	-0.284	-0.207
94	IPT1	1.125	0.841	0.726	0.37	0.184	-0.284	-0.145	-0.245
95	TPS2	0.934	-0.044	-0.055	-0.242	-0.277	0.883	0.962	0.476
96	RAD55	0.455	-0.399	0.088	-0.12	0.021	0.528	0.522	0.377
97	NBP2	-0.04	0.074	0.07	0.338	0.391	-0.021	-0.231	0.4
98	SEC1	0.07	-0.483	-0.089	0.382	0.45	0.525	-0.304	-0.087
99	SEC5	-0.181	-0.17	-1	0	0.502	0	0.678	-0.531
100	CDC37	-0.126	-0.081	-0.086	0.329	0.564	0.359	-0.071	0.018
101	SEC7	-0.405	-0.524	0.72	0.363	0.507	0.214	-0.84	0.023
102	SUP35	0.105	-0.288	0.667	0.556	0.293	0.611	-0.002	-0.086
103	CIA1	0.598	0.477	0.705	0.375	0.132	-0.307	-0.55	-0.392
104	MSW1	0.271	0.058	0.269	-0.058	0.186	0.149	-0.227	-0.165
105	YDR269C	0.258	-0.42	0.218	0.153	-0.098	0.773	0.209	0.171
106	CCC2	0.432	-0.39	0.375	0.258	-0.031	0.251	0.458	0.369
107	YDR271C	0.147	-0.174	0.233	0.36	-0.035	-0.237	0.263	0.273
108	GLO2	-0.161	-0.151	0.159	0.321	0.457	0.495	0.593	0.363
109	TRP4	0.434	0.027	0.441	0.519	0.529	0.297	0.259	0.025
110	SPC110	0.115	-0.488	0.447	0.547	0.084	0.368	-0.231	-0.192
111	GGA1	0.56	-0.132	0.126	-0.037	0.168	0.383	0.284	-0.057
112	YDR360W	-0.031	-0.83	0.201	0.054	-0.066	0.96	0.271	-0.443
113	TFC6	0.541	-0.227	0.42	0.263	0.304	0.194	0.074	0.015
114	CDC40	0.219	0.009	0.389	0.15	0.212	0.175	-0.063	0.037
115	RPS18A	-0.01	0.734	1.019	0.94	0.635	0.276	0.142	0.137
116	PPN1	0.703	0.186	0.619	0.364	0.217	-0.131	0.053	-0.169
117	GUK1	-0.086	0.369	0.517	0.725	0.595	0.291	0.634	0.427
118	NHX1	0.842	0.207	0.613	0.269	0.219	0.294	0.394	0.293
119	HEH2	0.357	0.152	0.725	0.732	0.379	0.396	-0.027	-0.15
120	TFB3	0.193	0.22	0.54	-0.031	0.08	-0.186	0.177	-0.094
121	IRC22	0.234	0.185	0.441	0.473	0.664	0.291	0.22	-0.109
122	GIM4	0.11	0.222	0.174	0.085	0	-0.03	0	-0.127
123	VAB2	0	-0.144	-0.401	-0.082	0.348	-0.193	0.547	-0.303
124	MIT1	0	-0.363	0.032	0	0.399	0.874	0.1	0.585
125	GCN4	0.442	0.228	0.557	0.661	0.584	0.154	0.033	0.05
126	GLC3	1.608	0.729	-0.924	-0.403	-0.415	0	-0.401	-0.174
127	YER0191C	0.475	0.631	0.821	0.612	0.467	0.031	0	-0.08
128	GPA2	0.47	-0.217	-0.461	0.095	0.082	0.259	0.295	0.18
129	SRB4	-0.114	-0.28	0.324	0.431	0.485	0.19	0.254	-0.23
130	YAT2	0.123	-0.097	0.027	0	0.115	0.104	0.659	0.14
131	CHO1	1.128	0.617	0.414	0.184	0.193	0.108	0.301	0.179
132	MIG3	0.201	-0.053	0.402	0.295	0.276	0.072	0.534	0.205
133	SWI4	-0.1	-0.732	0.143	0.3	0.531	0.801	0.534	0.433
134	TMN3	0.174	-0.18	0.374	0.557	0.379	0.601	0.279	0.272
135	SPR6	0.101	-0.015	0.35	0.284	0.276	0.014	0.545	0.335
136	RPL23B	0.174	0.572	0.834	0.698	0.631	0.17	0.291	0.037
137	AVT6	0.364	0.019	-0.214	0.014	0.344	0.54	1.174	0.689
138	YER121W	0	-0.199	-0.231	-0.146	0.074	0.128	0.245	-0.11
139	HSP12	-0.791	0.691	-2.17	-2.281	-2.126	-1.724	2.347	2.025
140	MDJ1	0.774	0.424	0.222	0.279	-0.017	0	0.589	0.313
141	LPD1	0.328	-0.029	0.4	0.217	0.466	0.514	0.49	0.139
142	PAU5	0.51	-0.104	0.256	0.133	0.123	0.071	0.303	-0.094
143	FRS2	0.041	-0.263	0.76	0.357	0.412	0.383	0.393	0.028
144	EPL1	-0.341	-0.3	0	0.524	0.383	-0.163	-0.198	-0.291
145	ERJ5	0.226	0.281	0.529	0.357	0.509	0.061	-0.166	-0.23
146	IRC6	-0.038	0.152	0.246	0.253	0.14	0.15	-0.092	0.091
147	YFR045W	0.665	0.162	0.183	0.112	-0.07	0.184	-0.148	-0.225
148	BNA6	0.389	0.296	0.103	-0.092	0.299	0.278	0.719	0.389
149	YMR31	0.104	0.477	0.13	0.119	0.326	0.244	0.192	-0.051
150	RET2	0.36	0.041	0.672	0.28	0.658	0.31	-0.151	-0.251
151	MPC1	0.748	0.618	0.525	0.126	0.293	0.018	-0.169	-0.224
152	YGL082W	0.56	0.34	0.669	0.494	0.298	0.055	-0.464	-0.497
153	GUP1	0.581	0.146	0.583	0.342	0.49	0.668	0.41	0.09
154	MAD1	-0.392	0.341	0.12	-0.379	0.28	-0.547	0	-0.369
155	YGL088W	-0.295	-0.3	-0.585	-0.273	-0.222	-0.547	-0.331	-0.573
156	LIF1	0.022	-0.069	0.102	0.056	-0.148	0.184	0.288	-0.079
157	YGL176C	0.526	-0.066	0.231	0.415	0.022	0.202	0.252	0.343
158	MPT5	0.425	-0.322	0.72	0.438	0.363	0.672	0.896	0.618
159	ATG1	0.543	-0.252	0.022	0.034	0.507	0.51	0.562	0.832
160	YGL182C	-0.766	-0.427	-0.75	-0.363	0.046	-0.401	-0.146	-0.055
161	STR3	-0.063	-0.425	-0.671	-0.354	0.093	0.212	0.506	0.152
162	TPN1	0.344	-0.127	0.176	0.014	0.209	0.568	0.915	0.516
163	SEC9	0.168	-0.24	0.394	0.138	0.133	0.225	-0.242	-0.411
164	YGR011W	-1.459	null	null	null	null	null	0.585	-2.807
165	SNU71	0.279	-0.221	0.504	0.214	0.333	0.23	0.137	-0.418
166	YGR015C	0.373	0.022	0.339	-0.016	0.236	0.253	0.529	-0.02
167	YGR017W	-0.17	0	-0.392	0.276	-0.29	0	0.485	-0.363
168	UGA1	0.537	0.155	-0.314	-0.387	0.082	0.556	1.227	0.649
169	VMA21	0.198	0.535	0.556	0.484	0.628	0.042	-0.136	-0.243
170	YGR107W	-0.509	0	-0.67	-0.222	-0.078	-0.284	0.188	-0.198
171	CLB6	-0.294	-0.209	0.296	0.478	0.591	0.31	-0.245	-0.387
172	YGR111W	-0.211	-0.118	-0.022	0.329	0.373	0.303	0.342	0.102
173	DAM1	0.072	-0.087	0.389	0.208	0.585	0.293	-0.035	-0.042
174	YGR115C	0.018	-1.097	0.336	0.35	0.441	1.221	-0.427	-0.967
175	YGR201C	0.446	0.348	0.185	-0.114	0.181	0.102	0.814	0.179
176	YCH1	0.257	0	0.282	0.345	0.477	0.01	0.102	0.061
177	TDA10	0.322	0.17	-0.152	0.309	0.426	0.202	0.385	0.415
178	CIR1	0.051	0.277	0.14	0.306	0.515	0.357	0.624	0.458
179	TRX2	0.767	0.87	0.642	0.484	0.409	-0.077	0.239	0.034
180	ZPR1	0.376	0.27	0.676	0.693	0.439	0.111	-0.087	-0.287
181	RPL14B	0.11	0.6	0.926	0.895	0.783	0.18	0.228	0.03
182	LAG1	0.605	0.669	0.663	0.351	0.29	0.103	0.239	0.005
183	YHL005C	0	0.037	0.242	0.098	0.128	0	0.048	-0.292
184	STE20	0.494	-0.472	0.542	0.469	0.232	0.722	0.108	-0.205
185	YAP3	0.171	0	0.501	0.344	0.114	0.048	-0.092	-0.136
186	PRS3	0.156	0.188	0.617	0.587	0.436	0.223	0.402	0.289
187	INM1	0.254	0.281	0.474	-0.058	0.357	0.201	0.485	0.286
188	YHK8	-0.547	0.755	0.308	0.415	-0.193	0.322	1	0.241
189	SMF2	0.589	0.176	0.419	0.174	0.246	0.211	0.582	0.288
190	CIC1	0.181	0.386	0.932	0.495	0.405	-0.191	-0.36	-0.532
191	YHR054C	-0.408	-0.417	-0.064	-0.257	-0.114	0.444	1.624	1.283
192	RSC30	-0.033	-0.087	0.146	0.043	0.218	0.493	0.914	0.5
193	RPL42B	-0.188	0.88	0.769	0.721	0.903	0.18	-0.125	-0.233
194	YHR143BW	-0.263	0.1	-0.1	-0.585	0.459	2.024	-0.087	0.337
195	DCD1	-0.248	0.007	0.357	0.292	0.452	0.217	-0.043	0.472
196	CRP1	-0.093	0.238	0.487	0.589	0.636	-0.007	-0.358	-0.664
197	IMP3	0.15	0.121	0.713	0.488	0.409	-0.141	-0.186	-0.173
198	PEX28	0.322	0.041	0.437	0.16	0	0.126	0.322	0.1
199	VID28	0.716	0.013	0.304	0.037	0.066	0.537	0.328	-0.156
200	FAF1	-0.228	-0.014	0.696	0.471	0.158	-0.311	-0.183	-0.283
201	RPB3	0.134	0.111	0.638	0.663	0.556	0.174	-0.18	-0.279
202	YKE4	0.483	0.105	0.422	0.406	0.329	0.174	0.292	0.182
203	YIL025C	-0.256	-0.059	-0.538	-0.093	0	-0.237	-0.09	-0.08
204	EMC5	0.193	0.467	0.439	0.434	0.283	-0.227	0.092	-0.251
205	POR2	0.468	0.876	0.715	0.581	0.378	-0.091	0.118	-0.123
206	HIS5	0.047	-0.161	-0.011	0.009	0.448	0.56	0.574	0.369
207	RHO3	0.333	0.393	0.743	0.468	0.541	-0.083	0.163	-0.182
208	QDR1	0.287	0.061	0.026	-0.087	-0.077	0.233	0.624	0.305
209	POG1	0.263	-0.266	0.214	-0.089	-0.226	-0.065	0.2	0
210	AYR1	0.327	0.282	0.135	0.046	0.216	0.376	0.854	0.651
211	MGA2	-0.671	-0.848	0.106	0.545	0.36	1.433	0.379	-0.229
212	YIR035C	1.206	0.87	0.511	0.228	0.111	-0.245	-0.031	0.019
213	HYR1	0.949	0.721	0.382	0.071	0.252	0.113	0.616	0.23
214	YPS6	0.642	0.109	0.047	-0.179	0.037	0.105	0.66	-0.083
215	PAU15	0.351	0	0.037	0.05	-0.082	-0.058	0.243	-0.251
216	YIR043C	0.912	0.518	0.485	0.558	0.135	0	-0.832	-0.753
217	YJL086C	-0.678	-0.415	-0.2	-0.051	-0.148	-0.312	-0.363	-0.462
218	ARG3	-0.697	-0.193	-0.903	-0.379	0.485	0.331	0.067	0.421
219	DPB11	0.012	-0.05	0.214	0.022	0.35	0.282	0.014	0.05
220	SRS2	0.239	-0.741	-0.061	0.184	0.069	0.886	0.229	-0.115
221	KHA1	0.222	0.363	-0.874	0.585	-1.322	-1.222	-0.222	-0.387
222	MRPL49	0.168	0.633	0.37	0.35	0.385	0.01	0.29	0.07
223	YJL182C	-0.3	0	0	0.17	-0.254	-0.295	-0.405	-0.243
224	GON7	-0.341	-0.127	0.326	0.058	0.655	0.163	0.264	0.064
225	MNN5	0.055	-0.449	0.303	0.226	0.317	0.597	0.362	0.167
226	YJL188C	0.166	0.671	0.732	0.783	0.566	-0.031	-0.395	-0.252
227	RPS22A	0.219	0.748	0.845	0.915	0.708	0.146	-0.098	-0.208
228	SOP4	0.247	0.222	0.404	0.54	0.528	0.325	0.467	0.246
229	BFA1	-0.119	-0.507	0.07	0.259	0.144	1.018	0.19	-0.222
230	HIT1	0.244	0.429	0.379	0.344	0.318	-0.153	-0.061	-0.159
231	CDC8	0.129	0.56	0.416	0.497	0.378	0.063	0.338	0.081
232	PTK2	0.532	-0.388	0.063	0.25	0.025	0.728	0.681	0.307
233	YJR061W	0.126	-0.212	0.341	0.16	0.181	0.273	0.27	0.3
234	RPA12	0.195	0.659	0.699	0.296	0.359	0.026	0.122	0.042
235	DAN1	2.346	1.012	1.326	-0.648	-2.391	-3.696	-3.05	-2.473
236	DAL5	0.447	-0.204	0.052	0.394	-0.379	0.333	0.373	0.351
237	YJR154W	0.365	-0.461	0.094	0.202	-0.329	0.33	0.422	-0.245
238	THI11	0.807	0.096	-0.322	-0.231	0	-0.178	0.764	0.259
239	HXT16	0.061	-0.911	-0.348	-0.384	-0.322	0.84	0.866	0.086
240	MPH3	0.29	0.415	-0.585	0.138	null	-0.322	1.585	0.392
241	YKL083W	-0.302	-0.399	-0.06	0.394	0.336	-0.188	-1.133	-0.152
242	MDH1	0.177	0.055	0.213	0.205	0.584	0.334	0.282	0.134
243	CYT2	0.588	0.562	0.443	0.266	0.292	-0.075	-0.163	-0.283
244	MIF2	0	-0.102	0.372	0.405	0.398	0.169	-0.062	-0.476
245	YKL091C	0.231	0.358	-0.075	-0.053	0.101	0.296	0.504	0.291
246	MBR1	0.252	0.152	-0.022	0.209	0.059	0.04	0.344	0.319
247	STE3	-0.67	-0.038	-0.891	-0.812	-0.277	-0.669	0.667	0.505
248	RPL17A	-0.008	0.421	0.986	0.611	0.818	0.462	-0.012	-0.1
249	FAS1	0.313	-0.33	0.588	0.051	0.611	0.585	0.113	-0.327
250	SPE1	0.543	0.189	0.596	0.522	0.307	0.18	0.014	-0.069
251	MTR2	0.061	0.182	0.48	0.251	0.508	0.158	0.33	-0.021
252	PXA2	0.306	-0.117	-0.078	0.063	-0.095	0.1	0.235	-0.038
253	FMP46	0.633	0.199	0.039	-0.28	-0.106	0.633	0.709	0.323
254	YKR051W	0.862	0.547	0.438	0.312	0.106	-0.01	0.132	-0.195
255	YSR3	2.007	0.698	0.287	-0.485	-0.617	-0.868	-0.492	-0.73
256	RHO4	0.297	0.394	0.526	0.57	0.225	0.229	0.039	-0.051
257	RPS21A	0.275	0.77	0.994	0.859	0.572	0.016	-0.016	-0.352
258	TIF1	0.49	0.22	0.909	0.414	0.498	0.418	-0.01	0.041
259	UBI4	0.733	0.458	-0.517	-0.362	-0.315	0.247	1.622	1.222
260	SDH2	0.662	0.114	-0.19	-0.124	0.024	0.588	0.868	0.41
261	FPS1	0.482	-0.031	0.486	0.465	0.265	0.253	0.337	-0.06
262	RPL8B	0.038	0.427	0.972	0.549	0.908	0.427	0.294	-0.04
263	YLL047W	-0.183	0.093	0.172	0.544	0.112	0	0.449	-0.44
264	LDB18	0.305	-0.177	0.255	0.025	0.058	0.06	0.271	0.037
265	FYV7	0.085	0.135	0.627	0.408	0.482	-0.457	-0.527	-0.33
266	XYL2	0.327	0.214	0.026	0.1	0.156	-0.148	-0.03	0.054
267	LAM6	0.2	-0.462	-0.165	-0.219	0.102	0.392	0.352	0.551
268	BUD20	0.439	0.699	0.696	0.599	0.507	-0.415	-0.186	-0.359
269	YLR076C	-0.097	0.368	0.668	0.742	0.752	0.273	0.044	-0.205
270	BOS1	0.157	0.564	0.096	0.414	0.543	0.182	0.37	0.183
271	SHH4	0.658	0.485	0.027	-0.123	0.12	-0.171	0.483	0.061
272	SEC10	-0.197	-0.2	0.275	0.247	0.398	0.759	0.147	-0.097
273	UPS2	-0.117	-0.089	0.122	0.174	0.069	0.115	0.513	0.029
274	APS1	0.043	0.231	0.423	0.093	0.342	-0.008	-0.303	-0.113
275	DPH5	-0.017	0.078	0.456	0.443	0.51	0.27	0.284	0.179
276	IDP2	0.092	-0.127	-0.191	-0.199	0.032	0.082	0.581	0.071
