^DATABASE = Geo
!Database_name = Gene Expression Omnibus (GEO)
!Database_institute = NCBI NLM NIH
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo
!Database_email = geo@ncbi.nlm.nih.gov
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6
^DATASET = GDS34
!dataset_title = Heat shock from 37°C to 25°C time course
!dataset_description = Heat shock from 37°C to 25°C. Samples collected at 15, 30, 45, 60 and 90 minutes. Included as part of a detailed characterization of global expression programs triggered by environmental stress.
!dataset_type = Expression profiling by array
!dataset_pubmed_id = 11102521
!dataset_platform = GPL56
!dataset_platform_organism = Saccharomyces cerevisiae
!dataset_platform_technology_type = spotted DNA/cDNA
!dataset_feature_count = 8448
!dataset_sample_organism = Saccharomyces cerevisiae
!dataset_sample_type = RNA
!dataset_channel_count = 2
!dataset_sample_count = 5
!dataset_value_type = log ratio
!dataset_reference_series = GSE18
!dataset_order = ordered
!dataset_update_date = Nov 03 2005
^SUBSET = GDS34_1
!subset_dataset_id = GDS34
!subset_description = 15 minute
!subset_sample_id = GSM1019
!subset_type = time
^SUBSET = GDS34_2
!subset_dataset_id = GDS34
!subset_description = 30 minute
!subset_sample_id = GSM1020
!subset_type = time
^SUBSET = GDS34_3
!subset_dataset_id = GDS34
!subset_description = 45 minute
!subset_sample_id = GSM1021
!subset_type = time
^SUBSET = GDS34_4
!subset_dataset_id = GDS34
!subset_description = 60 minute
!subset_sample_id = GSM1022
!subset_type = time
^SUBSET = GDS34_5
!subset_dataset_id = GDS34
!subset_description = 90 minute
!subset_sample_id = GSM1023
!subset_type = time
^DATASET = GDS34
#ID_REF = Platform reference identifier
#IDENTIFIER = identifier
#GSM1019 = Value for GSM1019: 25C -- 15 min; src: 37C; src: 25C - 15 min
#GSM1020 = Value for GSM1020: 25C -- 30 min; src: 37C; src: 25C - 30 min
#GSM1021 = Value for GSM1021: 25C -- 45 min; src: 37C; src: 25C - 45 min
#GSM1022 = Value for GSM1022: 25C -- 60 min; src: 37C; src: 25C - 60 min
#GSM1023 = Value for GSM1023: 25C -- 90 min; src: 37C; src: 25C - 90 min
!dataset_table_begin
ID_REF	IDENTIFIER	GSM1019	GSM1020	GSM1021	GSM1022	GSM1023
39	FMP45	-1.155	-0.941	null	-1.675	-1.254
40	WHI4	0.811	0.714	0.334	0.386	0.553
41	GCS1	0.05	-0.183	-0.285	-0.191	0.017
42	YDL228C	0.236	0.306	-0.14	0.034	-0.069
43	RTR2	-0.424	-0.362	-0.363	-0.593	-0.864
44	DOS2	-0.557	-0.787	-0.3	-0.16	-0.308
45	FMP16	0.129	-0.128	-0.214	-0.225	-0.285
46	IPT1	0.354	0.024	0.422	0.472	0.51
47	TPS2	-0.82	-1.303	-0.888	-1.311	-0.217
48	RAD55	-0.101	-0.385	-0.215	-0.73	-0.89
49	NBP2	-0.02	null	-0.689	null	-0.306
50	SEC1	0.639	0.134	0.189	-0.304	-0.041
51	SEC5	-0.322	-0.156	null	null	-1.115
52	CDC37	0.024	-0.081	-0.015	-0.251	-0.187
53	SEC7	0.245	0.188	null	null	-0.159
54	SUP35	0.842	1.304	0.549	0.551	0.054
55	CIA1	-0.323	0.149	0.015	null	0.627
56	MSW1	-0.183	-0.28	-0.459	-0.425	-0.226
57	YDR269C	-1.225	-0.621	-0.326	-1.68	-1.257
58	CCC2	-0.889	-0.511	-0.686	-0.937	-0.047
59	YDR271C	-1.414	-0.712	-0.76	0.067	-0.123
60	GLO2	-0.488	-0.714	-0.604	-0.562	-0.823
61	TRP4	1.228	0.603	0.292	0.359	0.715
62	SPC110	-0.155	-0.173	0.08	-0.295	0.371
63	GGA1	-1.434	-0.835	-0.742	-0.279	-0.466
64	YDR360W	0.572	0.141	0.312	-0.874	0.181
65	TFC6	0.27	-0.253	null	0.022	-0.128
66	CDC40	0.002	0.439	0.319	-0.006	-0.126
67	RPS18A	0.772	1.252	1.072	1.81	1.599
68	PPN1	-0.129	-0.172	-0.301	0.085	0.326
69	GUK1	0.254	0.383	0.185	0.916	0.613
70	NHX1	0.145	-0.198	0.13	-0.015	0.427
71	HEH2	0.425	0.68	0.431	0.614	0.578
72	TFB3	0.195	0.22	-0.108	0.171	0.112
73	TFC3	0.383	null	null	null	null
74	EFB1	0.667	0.85	null	null	1.544
75	SSA1	0.413	-0.136	-0.868	null	-1.673
76	FUN14	-1.287	0.206	-0.179	null	null
77	MDM10	0.043	0.132	0.447	0.543	-0.555
78	CYS3	-0.811	-0.075	0.451	null	1.048
79	YAR061W	-0.062	1.867	-0.31	null	-0.532
80	YAR068W	-0.003	-0.052	-0.06	-0.291	0.048
81	YAR070C	-1.926	-0.685	0.029	-1.627	-0.67
82	YAR073W	1.354	1.157	0.867	-0.274	0.973
83	ECM15	0.332	0.418	0.275	0.581	0.603
84	HTA2	0.4	0.436	0.012	1.107	1.463
85	RPL23A	0.789	1.164	0.593	1.763	1.493
86	AVT5	0.227	-0.043	-0.214	-0.439	-0.094
87	MAP2	0.567	0.767	0.222	0.786	0.375
88	ROX3	0.696	0.613	0.148	-0.558	0.112
89	MRX3	-0.093	-0.172	null	-0.308	-0.323
90	BRN1	-0.652	-0.149	null	-0.3	-0.26
91	NRG2	null	-0.37	-0.311	-0.144	-0.535
92	BAP2	0.346	0.736	null	0.08	0.532
93	ALG14	-0.767	-0.706	0.324	0.904	0.89
94	HSP26	-0.683	-0.908	-0.588	-2.034	-3.303
95	PFF1	0.335	-0.409	0.501	-2.235	-0.391
96	ECM8	-0.105	-0.233	-0.343	-0.226	-0.303
97	IRC22	0.493	0.681	0.479	null	1.016
98	GIM4	0.305	0.307	0.644	null	1.106
99	VAB2	-0.34	-0.216	-0.502	null	0.239
100	MIT1	-0.308	-0.464	-0.098	null	0.092
101	GCN4	1.076	1.106	0.7	1.268	1.079
102	GLC3	-0.655	-0.641	-1.046	-1.543	-0.363
103	YER0191C	0.815	1.193	0.518	2.006	0.999
104	GPA2	-0.412	-0.119	-0.342	0.6	-0.389
105	SRB4	-0.016	0.236	0.194	-0.2	null
106	YAT2	-0.499	0.327	null	-0.338	-0.476
107	CHO1	-0.427	-0.795	-0.489	0.234	0.443
108	MIG3	-0.811	-0.344	-1.266	-0.302	-0.725
109	SWI4	-0.675	-0.412	0.532	-0.325	0.307
110	TMN3	-0.092	0.263	0.257	-0.369	0.399
111	SPR6	-0.17	-0.406	-0.074	-0.831	-0.317
112	RPL23B	0.423	0.981	0.372	1.76	1.366
113	AVT6	-0.941	-0.827	-0.63	-0.775	-0.814
114	YER121W	null	-0.307	-0.66	-0.953	-0.713
115	HSP12	-0.347	-1.242	-1.024	-2.437	-3.616
116	MDJ1	-0.787	-1.399	null	-1.572	-0.697
117	LPD1	-0.156	-0.395	-0.541	-0.096	-0.195
118	PAU5	0.036	-0.193	0.4	-0.375	0.205
119	FRS2	0.335	0.46	0.5	0.819	0.628
120	EPL1	-0.279	0.479	0.379	-0.629	-0.16
121	ERJ5	-0.34	-0.422	0.087	null	0.31
122	IRC6	-0.371	-0.512	-0.23	null	-0.273
123	YFR045W	-0.409	-0.574	-0.577	null	-0.277
124	BNA6	-0.07	-0.676	-0.727	-0.321	-0.785
125	YMR31	-0.048	-0.363	-0.649	0.185	-0.042
126	RET2	0.242	0.313	-0.112	0.918	0.877
127	MPC1	0.575	0.201	0.219	0.776	0.647
128	YGL082W	0.172	-0.192	-0.118	-0.33	-0.098
129	GUP1	-0.809	-0.939	-0.504	-0.792	0.379
130	MAD1	0.562	-0.407	null	-1.441	0
131	YGL088W	-0.529	-0.521	null	-1.109	-0.674
132	LIF1	-0.014	-0.147	-0.539	-1.313	-0.771
133	YGL176C	0.758	0.389	0.7	0.053	0.318
134	MPT5	1.437	0.596	0.874	-0.08	0.31
135	ATG1	0.548	-0.497	-0.026	-0.97	-0.251
136	YGL182C	-0.426	-0.668	-0.226	-1.385	-1.443
137	STR3	-0.303	-0.644	-0.713	-1.606	-1.316
138	TPN1	0.529	0.208	-0.504	-0.267	0.275
139	SEC9	0.385	0.226	0.225	0.359	0.029
140	YGR011W	-0.122	0.02	-0.298	0.414	-0.128
141	SNU71	-0.067	0.172	0.225	-0.363	-0.03
142	YGR015C	-0.347	-0.189	0.038	-0.277	0.435
143	YGR017W	-1.585	0.571	null	-0.585	-1
144	UGA1	-0.874	-1.343	-1.159	-1.244	-0.997
145	VMA21	0.288	0.364	0.633	null	0.316
146	YGR107W	-0.895	-0.585	-0.383	null	-1.753
147	CLB6	-1.233	null	1.085	null	0.604
148	YGR111W	-1.277	-1.073	-0.907	-0.789	-0.541
149	DAM1	-0.039	-0.237	0.173	-0.269	-0.122
150	YGR115C	0.765	0.577	1.074	0.752	0.648
151	YGR201C	0.036	0.005	0.181	0.449	0.164
152	YCH1	0.596	-0.354	0.04	-0.278	0.077
153	TDA10	-0.779	-1.27	-0.787	-0.805	-0.379
154	CIR1	0.195	-0.095	-0.443	-0.355	-0.373
155	TRX2	0.165	0.38	0.098	1.014	0.729
156	ZPR1	0.922	1.218	0.233	1.504	0.571
157	RPL14B	0.661	1.068	0.634	1.465	1.364
158	LAG1	-0.042	-0.213	0.333	0.079	0.839
159	YHL005C	-0.032	-0.809	0	-1.573	-0.222
160	STE20	0.648	0.671	0.171	0.549	0.185
161	YAP3	-0.026	-0.023	0.07	-0.466	-0.279
162	PRS3	1.076	1.155	1.124	0.659	0.68
163	INM1	-0.461	-0.251	-0.593	-0.434	-0.666
164	YHK8	2.561	0.429	null	-0.104	-0.067
165	SMF2	-0.284	-0.293	-0.142	-0.278	0.609
166	CIC1	1.626	1.748	1.323	0.835	0.892
167	YHR054C	-0.062	-0.304	-0.415	-0.603	-0.577
168	RSC30	-0.259	0.137	0.875	-1.574	0.06
169	RPL42B	0.442	0.964	0.775	null	1.193
170	YHR143BW	0.286	null	null	null	-0.115
171	DCD1	0.541	0.094	-0.034	null	-0.258
172	CRP1	0.09	0.372	0.41	0.796	-0.052
173	IMP3	0.839	1.032	0.725	0.755	0.291
174	PEX28	null	null	null	null	1.132
175	VID28	-0.299	null	0.125	null	-0.226
176	FAF1	1.33	1.173	0.558	1.023	0.093
177	RPB3	0.52	0.603	0.391	0.881	0.247
178	YKE4	-0.191	-0.376	0.105	-0.14	0.112
179	YIL025C	-0.856	-0.799	-0.153	0.171	-0.415
180	EMC5	0.632	0.669	0.704	0.936	0.759
181	POR2	-0.624	-0.236	0.222	0.665	0.096
182	HIS5	1.192	1.083	0.638	-0.082	0.222
183	RHO3	1.139	0.96	0.258	0.474	0.658
184	QDR1	0.304	0.02	0.082	-0.45	-0.262
185	POG1	0.576	-0.52	-0.022	-0.449	0.07
186	AYR1	-1.462	-1.887	-1.734	-0.97	-0.242
187	MGA2	0.572	0.951	null	-0.684	-0.97
188	YIR035C	0.021	0.059	null	0.249	0.631
189	HYR1	-0.247	-0.323	-0.667	-0.259	-0.162
190	YPS6	-0.726	-0.723	-0.379	-1.32	-0.617
191	PAU15	-0.134	-0.15	-0.39	-0.244	0.026
192	YIR043C	-0.457	0.053	0.193	0.414	0.945
193	YJL086C	0.868	0.469	0.565	null	-0.423
194	ARG3	0.874	0.495	0.038	-1.884	-1.512
195	DPB11	0.609	0.759	0.65	-0.275	0
196	SRS2	0.569	0.448	0.198	-0.526	0.559
197	KHA1	null	0.585	2.322	-0.381	-0.585
198	MRPL49	-0.24	-0.068	-0.258	0.036	0.014
199	YJL182C	-0.572	-0.144	0.05	-0.303	-0.415
200	GON7	0.038	0.075	-0.167	-0.196	-0.207
201	MNN5	0.06	0.094	-0.196	0.825	0.231
202	YJL188C	0.379	0.858	0.858	1.709	1.238
203	RPS22A	0.626	1.003	0.97	1.761	1.549
204	SOP4	0.231	0.134	0.101	0.305	0.373
205	BFA1	-0.267	-0.457	-0.149	-1.039	-0.343
206	HIT1	0.566	0.496	0.434	-0.484	-0.387
207	CDC8	-0.232	-0.122	0	0.284	0.209
208	PTK2	-0.017	-0.184	-0.179	-0.091	-0.023
209	YJR061W	null	0.116	0.283	-0.243	-0.073
210	RPA12	1.346	1.436	1.151	0.992	0.799
211	DAN1	-1.131	-0.279	-0.578	-0.968	-0.282
212	DAL5	-0.394	-0.284	null	-0.733	0.07
213	YJR154W	-1.553	-0.384	null	-1.301	-0.621
214	THI11	-0.427	-0.456	-0.467	-0.506	-0.308
215	HXT16	-0.427	-0.094	-0.085	-0.551	-0.227
216	MPH3	-0.357	1.972	0.839	null	null
217	YKL083W	1.644	null	null	-1.644	null
218	MDH1	-0.643	-0.662	-0.648	0.488	0.241
219	CYT2	-0.051	-0.2	-0.202	0.218	0.01
220	MIF2	-0.232	-0.047	0.214	0.24	0.034
221	YKL091C	-1.622	-1.592	-1.493	-1.331	-0.901
222	MBR1	0.074	-0.317	-0.57	-0.677	-0.511
223	STE3	-0.715	-0.67	-1.002	-1.046	-1.067
224	RPL17A	0.699	1.038	0.516	1.421	1.285
225	FAS1	1.211	0.379	0.72	0.913	0.239
226	SPE1	0.703	0.695	0.655	0.288	0.621
227	MTR2	0.134	0.311	0.335	-0.017	-0.22
228	PXA2	-0.273	-0.569	-0.125	-1.35	-0.837
229	FMP46	0.222	-1.019	-0.264	-1.115	-0.449
230	YKR051W	0.477	0.119	0.12	0.437	0.435
231	YSR3	0.268	0.179	-0.448	0.598	0.339
232	RHO4	-0.199	-0.325	-0.014	-0.219	0.276
233	RPS21A	0.691	1.107	1.137	1.545	1.43
234	TIF1	0.873	1.013	0.549	0.953	1.245
235	UBI4	-0.56	-0.856	-1.323	-0.997	-0.97
236	SDH2	-0.777	-1.362	-0.881	-0.592	0.129
237	FPS1	0.213	0.178	0.147	0.711	0.548
238	RPL8B	0.914	1.273	0.9	1.673	1.284
239	YLL047W	-0.29	-0.339	-0.413	-1.167	-0.714
240	LDB18	0.086	0.252	0.042	0.257	0.32
241	FYV7	0.96	1.259	0.683	0.571	0.269
242	XYL2	-0.332	-0.086	-0.979	-1.484	-0.411
243	LAM6	0.261	0.807	-0.149	-1.559	-0.063
244	BUD20	1.211	1.065	0.324	0.329	0.396
245	YLR076C	0.588	1.224	0.504	1.563	1.567
246	BOS1	-0.25	0.138	-0.494	0.276	-0.095
247	SHH4	-0.309	-0.277	-1.12	-1.117	-0.516
248	SEC10	-0.046	-0.288	-0.134	-0.84	-0.177
249	UPS2	-0.159	-0.135	-0.495	0.056	-0.067
250	APS1	-0.159	-0.121	-0.18	-0.77	-0.264
251	DPH5	1.019	1.142	0.807	0.51	0.44
252	IDP2	-0.271	0.03	-0.224	null	-0.313
253	LCB5	-0.53	-0.349	-0.136	-0.623	-0.346
254	YPT6	0.168	0.068	0.111	0.17	0.283
255	RPS28B	0.237	0.471	0.682	1.164	1.246
256	PDR8	-0.089	-0.608	-0.129	-0.623	0.028
257	SEC22	0.253	0.471	0.577	0.335	0.304
258	DCS1	-1.16	-1.803	-1.637	-1.805	-1.073
259	ATG33	-0.571	-0.454	-0.912	-0.582	-0.72
260	YLR358C	0.259	0.457	0.128	0.842	0.055
261	VPS38	-0.471	-0.228	-0.411	-0.286	-0.386
262	STE11	0.149	-0.009	-0.244	-0.778	-0.262
263	GRX8	-0.431	-0.846	-1.029	-0.713	-0.933
264	YLR366W	-1.372	-0.739	0.273	-0.524	-1.222
265	SST2	0.737	null	null	null	null
266	FMP27	0.258	0.106	0.277	-1.476	0.415
267	YLR456W	-0.278	0.05	-0.032	-0.402	-0.439
268	YLR458W	-0.473	-0.477	0.063	-0.368	-0.699
269	YLR460C	0.276	-0.045	0.011	0.527	0.611
270	YLR462W	0.023	-0.121	-0.023	-0.605	-0.146
271	YML096W	0.564	0.714	0.124	0.208	0.158
272	TAF13	null	0.796	null	1.415	null
273	TSL1	-1.463	-1.402	-2.459	-2.51	-1.814
274	CAC2	0.252	-0.835	-0.598	-1	-0.048
275	MDM1	0.546	0.403	0.382	null	0.117
276	URA5	0.8	1.088	0.877	1.196	1.246
277	UBX4	-0.04	-0.079	-0.304	-0.872	-0.28
278	NAT4	0.494	-0.513	0.21	-1.222	-0.549
279	TVP18	-0.309	-0.325	-0.196	0.278	0.264
280	IRC21	0.356	0.383	0.271	0.318	0.227
281	RCO1	-0.324	-0.276	0.167	-0.37	-0.172
282	VPS20	-0.234	-0.3	-0.052	0.306	-0.115
283	DDR48	-0.26	-0.078	-0.362	-0.506	-0.162
284	MMT1	-0.069	0.328	0.385	0.009	-0.038
285	SPT21	-0.545	-0.318	0.494	-0.064	0.209
286	YMR181C	0.851	0.663	0.289	-0.058	0.087
287	SSO2	0.09	-0.064	0.256	0.045	0.22
288	RTP1	0.944	1.202	0.848	0.08	0.165
289	CAT8	0.131	null	null	null	null
290	AEP2	0.274	null	0.157	-0.311	-0.163
291	YKU70	0.172	null	null	-0.125	0.071
292	DSS1	0.246	0.115	-0.024	-0.676	-0.217
293	ABZ2	0.212	0.318	0.17	-0.237	-0.034
294	TDA1	0.241	-0.125	-0.238	-0.254	0.218
295	MSG5	0.062	-0.058	-0.123	-0.374	0.118
296	POR1	0.004	-0.184	-1.258	-0.35	-0.695
297	YNL057W	-0.194	-0.287	-0.133	-0.914	-0.615
298	ARP5	0.292	0.042	0.121	-0.135	0.022
299	NOP2	1.365	1.618	1.303	1.295	0.673
300	MTQ1	-0.021	0.188	-0.396	null	-0.253
301	PGA2	0.546	0.475	0.374	null	0.282
302	RPC31	1.172	0.823	1.126	0.635	0.586
303	GIM3	0.8	0.775	-0.041	1.148	0.519
304	CUZ1	0.065	-0.14	-0.223	-0.321	-0.513
305	IGO1	0.397	0.391	0.003	0.083	0.038
306	ASI2	0.246	-0.028	-0.595	null	-0.347
307	CWC25	0.314	0.074	-0.062	-0.04	-0.197
308	YNL247W	0.786	0.979	0.866	0.943	0.277
309	MPA43	-0.099	-0.023	0.08	-0.404	-0.304
310	NRD1	1.529	0.417	0.87	-0.131	0.902
311	TEX1	-0.459	-0.414	-0.137	-0.49	-0.379
312	GIS2	0.769	1.256	1.153	1.598	1.267
313	ATO2	null	-0.516	-0.666	-0.907	-0.72
314	SWM2	0.628	0.572	0.32	0.285	0
315	VPS27	0.239	0.06	0.235	-0.492	-0.234
316	LRO1	-0.678	-0.039	-0.439	-0.751	0.034
317	CSE2	-0.346	0.145	-0.333	0.314	null
318	URK1	0.984	0.938	0.92	0.634	0.482
319	DIS3	1.26	1.252	0.963	0.989	0.585
320	IFM1	-0.05	0.107	-0.391	-0.678	-0.323
321	LAG2	0.205	0.014	-0.253	-0.506	-0.125
322	MDM38	1.197	0.46	0.386	-0.433	0.383
323	YOL029C	0.343	0.07	-0.05	0.271	0.018
324	SIL1	-0.063	-0.43	-0.225	-0.507	0.099
325	MSN1	-0.038	-0.143	0.806	null	-0.572
326	YOL118C	1.453	1.028	0.607	-0.134	-1.139
327	RPL18A	0.823	1.075	0.328	1.858	1.459
328	SMF1	0.098	-0.288	0.033	-1.112	-0.06
329	TRM11	1.159	1.141	0.663	0.502	0.14
330	MDH2	1.467	1.941	1.692	2.601	0.767
331	DBP5	0.119	0.388	0.277	0.108	-0.012
332	RAT1	0.814	null	null	-0.446	null
333	YOR050C	-2.627	-0.512	-0.839	-1.047	null
334	TMC1	-0.036	-0.663	-1.193	-0.718	-1.058
335	VHS3	-0.108	-0.003	-0.164	-0.349	-0.293
336	NOB1	0.956	1.041	0.758	1.117	0.313
337	LSC1	-0.017	0.071	-0.712	0.815	0.686
338	ELG1	-0.314	0.625	0.454	0.284	null
339	YOR146W	0.507	1.06	0.487	0.994	0.34
340	SPP2	0.295	-0.146	0.089	0.315	0.04
341	MRPL23	-0.036	-0.231	0.126	-0.09	0.193
342	ATG40	-1.09	-0.952	-0.842	-1.118	-0.901
343	YOR238W	-0.147	-0.016	-0.24	-0.271	-0.296
344	ABP140	1.025	1.092	0.765	1.035	0.903
345	SSP2	0.044	0.347	0.321	0.385	0.045
346	ESA1	-0.022	0.089	0.136	-0.454	-0.312
347	ENV9	-0.207	0.384	0.15	1.402	0.362
348	YOR248W	-0.245	-0.001	-0.271	1.127	1.313
349	MRS2	1.302	null	null	null	null
350	KRE5	1.308	null	null	null	null
351	YOR338W	1.022	null	null	null	null
352	RPA43	1.988	null	null	null	null
353	YOR342C	1.174	null	null	null	null
354	TYE7	-0.086	0.317	-0.02	0.318	0.199
355	PMA2	-0.522	1.047	null	null	null
356	MET31	0.254	0.661	0.143	0.946	0
357	ISM1	0.016	-0.29	-0.247	null	-1.322
358	SSN3	0.758	0.133	0.974	-1.044	-0.152
359	YPL044C	1.987	1.659	1.12	0.763	0.56
360	ELC1	-0.218	-0.09	0.065	-0.372	-0.053
361	COX11	-0.388	-0.256	-0.488	-0.112	0.205
362	ODC1	-0.529	-0.245	null	null	0.16
363	YPL136W	0.209	0.03	-0.574	null	null
364	SPP1	-0.267	-0.297	-0.299	-0.383	-0.529
365	MKK2	-0.108	0.081	0.043	0.147	-0.23
366	YPL142C	0.672	1.079	0.812	1.735	1.594
367	CET1	0.506	0.298	0.328	0.33	0.276
368	USV1	0.098	-0.376	-0.246	-1.015	-0.58
369	SSO1	0.255	-0.236	0.098	-0.167	-0.039
370	VMA11	0.283	0.504	0.32	0.907	0.931
371	ENV7	-0.173	0.127	-0.068	-0.263	0.074
372	YPL238C	1.19	1.663	1.546	0.821	1.195
373	TIF5	0.894	1.372	0.874	1.271	0.786
374	RPL43A	0.378	0.917	0.533	1.681	1.3
375	THP3	0.27	0.095	0.056	-0.128	-0.172
376	MSF1	-0.599	-0.395	-0.487	-0.501	-0.675
377	ATG11	1.426	-0.057	-0.188	-0.834	-0.459
378	MAK3	0.355	1.064	-0.308	1.062	0.723
379	RRP9	1.294	0.967	0.532	0.309	0.176
380	LOA1	-0.216	-0.081	-0.038	0.186	0.345
381	KAR3	-0.657	-0.588	-0.501	-0.721	-0.328
382	RRP15	1.076	1.26	0.944	1.056	0.427
383	ASN1	1.702	1.765	0.696	1.465	0.867
384	YPR147C	0.121	-0.22	-0.108	-0.416	-0.048
385	NORF 1	-0.123	-0.078	-0.458	-0.453	-0.579
386	NORF 5	0.705	0.597	0.63	null	0.531
387	NORF 9	0.437	-0.243	0.179	null	-0.252
388	NORF 13	-0.952	-1.715	-2.539	-2.293	-1.514
389	NORF 17	0.055	-0.102	-0.16	0.289	-0.004
390	NORF 21	0.228	0.025	-0.457	0.307	0.325
391	TFC3	0.14	-0.141	0.011	-0.179	0.306
392	ATS1	-0.562	-0.015	null	-1.862	null
393	GPB2	0.176	-0.199	null	0.554	0.444
394	YAT1	0.373	-0.092	0.315	-0.043	0.324
395	HIR1	0.061	0.545	0.173	-0.585	0.049
396	EDE1	0.774	0.421	0.442	-0.64	0.244
397	PRP22	0.084	0.166	0.091	0.057	-0.289
398	GIP2	-0.249	-0.199	-0.848	-0.823	-1.064
399	PTC2	1.072	0.061	-0.176	-0.88	0.411
400	YER134C	-0.373	-0.317	-0.415	-0.009	-0.073
401	YER138C	0.448	0.346	0.39	-0.601	-0.258
402	BRR2	0.594	0.261	0.558	-0.724	0.268
403	URB1	1.284	0.77	1.248	0.335	0.47
404	TPK3	-0.084	0.049	0.097	-0.024	-0.169
405	MST1	0.083	-0.343	-0.381	-0.5	-0.195
406	TOR2	0.431	0.163	0.565	-0.553	null
407	DYN1	-0.342	0.34	0.157	0.052	-0.025
408	DPS1	0.885	0.664	0.872	0.721	0.532
